pop_inicial tipo1_inicial tipo2_inicial n/2_100%_infectados tipo1_n/2_100%_infectados tipo2_n/2_100%_infectados curados_n/2_100%_infectados mortos_n/2_100%_infectados n/2+1_100%_infectados tipo1_n/2+1_100%_infectados tipo2_n/2+1_100%_infectados curados_n/2+1_100%_infectados mortos_n/2+1_100%_infectados n_100%_infectados tipo1_n_100%_infectados tipo2_n_100%_infectados curados_n_100%_infectados mortos_n_100%_infectados n/2_pico tipo1_n/2_pico tipo2_n/2_pico curados_n/2_pico mortos_n/2_pico n/2+1_pico tipo1_n/2+1_pico tipo2_n/2+1_pico curados_n/2+1_pico mortos_n/2+1_pico n_pico tipo1_n_pico tipo2_n_pico curados_n_pico mortos_n_pico n_total sadios_n_total curados_n_total mortos_n_total
1600 1 0 20 396 210 206 27 21 414 222 248 31 40 113 64 1326 97 12 199 95 13 6 13 226 105 24 10 25 442 237 448 52 50 0 1497 103
1600 1 0 20 426 186 213 14 21 445 198 255 17 40 104 63 1354 79 12 213 84 13 3 13 244 93 23 5 24 470 211 406 32 49 0 1513 87
1600 1 0 20 406 196 210 27 21 423 212 247 33 40 102 68 1311 119 12 218 74 13 8 13 244 87 23 11 24 443 234 393 49 50 0 1472 128
1600 1 0 20 411 190 205 33 21 430 201 248 36 40 104 66 1327 103 12 212 80 12 9 13 238 92 23 12 24 457 219 393 50 50 0 1491 109
1600 1 0 20 404 204 204 27 21 421 218 245 31 40 105 67 1315 113 12 205 86 13 9 13 227 103 22 13 24 442 231 396 50 49 0 1478 122
1600 1 0 20 406 192 206 35 21 433 195 247 40 40 111 61 1319 109 12 188 102 12 11 13 216 112 24 13 25 466 209 443 61 50 0 1485 115
1600 1 0 20 406 195 208 30 21 431 202 250 32 40 121 51 1319 109 12 198 95 13 7 13 225 109 23 8 25 457 217 453 52 50 0 1487 113
1600 1 0 20 402 198 209 30 21 424 205 248 38 40 117 55 1306 122 12 192 104 12 5 13 221 114 23 7 24 456 211 393 59 50 0 1476 124
1600 1 0 20 389 208 211 31 21 406 226 252 31 40 111 64 1324 101 12 198 93 13 9 13 223 106 25 11 25 429 244 451 55 50 0 1498 102
1600 1 0 20 400 200 209 30 21 429 204 249 33 40 111 64 1338 87 12 200 94 13 6 13 223 113 23 6 24 470 210 393 46 50 0 1507 93
1600 1 0 20 393 202 209 35 21 414 213 250 38 40 102 72 1331 95 12 211 84 12 6 13 230 103 22 10 25 458 223 444 54 49 0 1500 100
1600 1 0 20 398 202 206 33 21 421 208 246 40 40 106 67 1324 103 12 188 107 11 7 13 211 121 22 11 24 455 223 386 55 49 0 1495 105
1600 1 0 20 375 228 213 23 21 400 234 257 24 40 112 58 1333 97 12 196 98 13 6 13 220 112 25 8 25 427 252 456 44 50 0 1499 101
1600 1 0 20 389 219 211 20 21 401 234 255 25 40 110 60 1335 95 12 216 80 11 6 13 233 103 22 7 24 437 245 400 37 50 0 1500 100
1600 1 0 20 412 191 209 27 21 433 197 252 33 40 105 65 1330 100 12 219 75 12 7 13 243 91 24 7 24 451 219 400 49 50 0 1494 106
1600 1 0 20 426 178 209 26 21 448 185 252 30 40 109 69 1341 81 12 198 95 13 7 13 223 109 25 8 24 469 214 395 41 50 0 1509 91
1600 1 0 20 404 195 201 39 21 427 204 242 42 40 112 62 1333 93 12 197 92 11 13 13 229 98 22 16 25 446 233 442 58 50 0 1501 99
1600 1 0 20 391 211 208 29 21 421 216 248 30 40 113 53 1334 100 12 195 98 13 7 13 226 109 23 7 24 462 220 396 41 50 0 1497 103
1600 1 0 20 385 216 212 26 21 402 231 253 29 40 112 62 1328 98 12 191 105 13 4 13 218 115 25 7 25 431 248 458 42 49 0 1500 100
1600 1 0 20 414 187 215 23 21 431 198 257 29 40 114 53 1335 98 12 206 90 13 4 13 235 100 24 6 25 458 215 459 47 50 0 1494 106
1600 1 0 20 422 182 206 29 21 434 199 249 33 40 117 54 1327 102 12 194 97 12 10 13 216 112 24 13 24 459 224 396 40 50 0 1492 108
1600 1 0 20 408 199 209 23 21 430 209 248 28 40 103 66 1333 98 12 196 96 13 8 13 229 103 23 10 24 454 227 399 39 49 0 1496 104
1600 1 0 20 419 184 207 29 21 442 190 247 36 40 110 62 1318 110 12 190 100 13 10 13 224 103 23 15 24 462 214 398 45 50 0 1484 116
1600 1 0 20 389 211 211 28 21 409 222 251 33 40 114 60 1327 99 12 203 90 13 7 13 222 111 25 7 25 446 236 450 47 50 0 1497 103
1600 1 0 20 397 201 209 32 21 414 209 252 40 40 118 57 1327 98 12 197 96 13 7 13 224 109 25 7 25 446 232 445 56 50 0 1496 104
1600 1 0 20 427 174 203 35 21 440 195 244 36 40 107 59 1322 112 12 210 83 12 8 13 236 94 24 11 24 452 227 392 48 49 0 1485 115
1600 1 0 20 388 220 211 20 21 406 230 253 26 40 113 60 1330 97 12 208 86 13 6 13 237 96 25 7 24 443 228 401 47 50 0 1499 101
1600 1 0 20 388 213 212 26 21 408 225 252 30 40 105 64 1325 106 12 195 102 13 3 13 220 116 25 4 25 446 228 449 56 50 0 1488 112
1600 1 0 20 395 212 205 27 21 415 225 246 29 40 106 69 1337 88 12 195 97 12 9 13 224 108 22 11 25 451 229 458 41 50 0 1506 94
1600 1 0 20 409 191 214 25 21 434 200 253 28 40 108 64 1338 90 12 202 96 13 2 13 231 105 25 4 24 461 217 401 40 50 0 1508 92
1600 1 0 20 409 192 208 30 21 433 200 249 33 40 106 62 1339 93 12 201 92 13 7 13 230 98 25 12 24 465 224 392 38 50 0 1504 96
1600 1 0 20 374 228 207 30 21 393 236 250 36 40 106 68 1320 106 12 191 103 13 6 13 217 115 25 8 25 411 258 453 57 50 0 1489 111
1600 1 0 20 409 198 206 26 21 421 215 249 30 40 110 59 1324 107 12 197 95 13 8 13 225 108 23 9 24 438 240 393 48 50 0 1488 112
1600 1 0 20 403 206 208 22 21 416 222 247 30 40 111 67 1318 104 12 212 81 13 7 13 243 88 24 10 24 420 256 399 44 50 0 1491 109
1600 1 0 20 411 192 212 24 21 431 199 254 31 40 123 49 1322 106 12 208 84 13 8 13 234 98 24 9 25 447 226 454 52 50 0 1490 110
1600 1 0 20 383 220 208 28 21 404 228 252 31 40 101 67 1325 107 12 190 102 13 8 13 214 114 25 12 24 445 230 399 45 50 0 1487 113
